"player_id","player_name"
6777,"Sidnei Rechel da Silva Júnior"
6778,"Iván Ramis Barrios"
6782,"Enis Bardhi"
6784,"Antonio García Aranda"
6785,"Yassine Bounou"
6786,"David Timor Copoví"
6787,"Pedro López Muñoz"
6788,"Xabier Etxeita Gorritxategi"
6789,"Mikel Balenziaga Oruesagasti"
6790,"Mario Hermoso Canseco"
6791,"Javier López Rodríguez"
6792,"Pau López Sabata"
6795,"Rubén Blanco Veiga"
6796,"Nemanja Radoja"
6797,"Daniel Wass"
6798,"Stanislav Lobotka"
6799,"Brais Méndez Portela"
6803,"Emre Mor"
6804,"Sergi Gómez Solà"
6805,"Hugo Mallo Novegil"
6807,"Roberto Suárez Pier"
6809,"Erick Cathriel Cabaco Almada"
6810,"José Manuel Arnáiz Díaz"
6821,"Jesús Navas González"
6825,"Daniel Filipe Martins Carriço"
6826,"Clément Lenglet"
6827,"Daniele Bonera"
6828,"Jaume Vicent Costa Jordá"
6830,"Facundo Sebastián Roncaglia"
6834,"Gerard Gumbau Garriga"
6838,"Hernán Arsenio Pérez González"
6839,"Daniel Alejandro Torres Rojas"
6840,"Marcos Llorente Moreno"
6841,"Víctor Machín Pérez"
6842,"Iker Muniain Goñi"
6851,"Aitor Ruibal García"
6852,"Jozabed Sánchez Ruiz"
6855,"Guillermo Alfonso Maripán Loaysa"
6856,"Carlos Martín Vigaray"
6857,"Rúben Afonso Borges Semedo"
6863,"Mauro Wilney Arambarri Rosa"
6866,"Marc Roca Junqué"
6867,"Papa Kouly Diop"
6872,"Bruno González Cabrera"
6873,"Francisco Portillo Soler"
6876,"Róbert Mazáň"
6877,"Yeray Álvarez López"
6880,"Arnaldo Antonio Sanabria Ayala"
6885,"Kévin Manuel Rodrigues"
6886,"Dídac Vilá Rosselló"
6888,"Aleix García Serrano"
6891,"Ezequiel Marcelo Garay"
6892,"Pau Francisco Torres"
6893,"Jesús Vallejo Lázaro"
6898,"Jaume Doménech Sánchez"
6899,"Rubén Pardo Gutiérrez"
6901,"Nemanja Maksimović"
6902,"Óscar Melendo Jiménez"
6906,"Jon Bautista Orgilles"
6907,"Pedro León Sánchez Gil"
6908,"Iván Alejo Peralta"
6910,"Eduardo Expósito Jaén"
6919,"Guilherme Antonio Arana Lopes"
6923,"Joaquín Navarro Jiménez"
6924,"Alejandro Gálvez Jimena"
6930,"Jonathan Calleri"
6935,"Adrián Marín Gómez"
6947,"Miralem Pjanić"
6982,"Maxime Gonalons"
6998,"Rafael Alcântara do Nascimento"
7006,"Alejandro Darío Gómez"
